policy,regime,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
fixed_compute,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.363754422421088,5045.631633631632,0.0026666666666666666,0.0,0.16291365278084413,0.0,0.0,0.0,1500.0,1.0
fixed_compute,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3829546890307483,3382.9546890307483,0.002,0.0,0.10820314501143002,0.0,0.0,0.0,1000.0,1.0
fixed_compute,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3178019181269813,3317.8019181269815,0.0,0.0,0.10701020706255804,0.0,0.0,0.0,1000.0,1.0
fixed_compute,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.32805425365705,3328.0542536570497,0.001,0.0,0.10957931189659575,0.0,0.0,0.0,1000.0,1.0
fixed_compute,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3239655546728035,3323.9655546728036,0.0,0.0,0.10399790702467726,0.0,0.0,0.0,1000.0,1.0
fixed_compute,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.411111225803879,3411.1112258038793,0.0,0.0,0.10786597089099814,0.0,0.0,0.0,1000.0,1.0
fixed_compute,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.394039906354646,5091.059859531969,0.0006666666666666666,0.0,0.17109270519904385,0.0,0.0,0.0,1500.0,1.0
fixed_compute,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.315247101357522,3315.2471013575223,0.002,0.0,0.10942039192195807,0.0,0.0,0.0,1000.0,1.0
fixed_compute,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.297739180714315,4946.608771071473,0.0006666666666666666,0.0,0.15892786398762837,0.0,0.0,0.0,1500.0,1.0
fixed_compute,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1068137426561346,3160.220613984202,0.0,0.0,0.08481030395159905,0.0,0.0,0.0,1500.0,1.0
fixed_compute,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.321299752601283,3321.2997526012828,0.0,0.0,0.112816701115662,0.0,0.0,0.0,1000.0,1.0
fixed_compute,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3442802827129263,5016.42042406939,0.0006666666666666666,0.0,0.17035291503270855,0.0,0.0,0.0,1500.0,1.0
fixed_compute,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8197936988595407,2819.7936988595407,0.224,0.0,0.13409706303900748,0.0,0.0,0.0,1000.0,1.0
fixed_compute,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.299648657080743,3299.648657080743,0.001,0.0,0.10623922292325005,0.0,0.0,0.0,1000.0,1.0
fixed_compute,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7335830164563903,4100.374524684586,0.9486666666666667,0.0,0.1026130810369068,0.0,0.0,0.0,1500.0,1.0
fixed_compute,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3832405074713687,3383.240507471369,0.001,0.0,0.11252095595591527,0.0,0.0,0.0,1000.0,1.0
fixed_retry,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3628729997823448,5044.309499673517,0.0,0.0,0.1607032190368045,0.0,0.0,0.0,1500.0,1.0
fixed_retry,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.400066874035191,3400.066874035191,0.0,0.0,0.10833196403109469,0.0,0.0,0.0,1000.0,1.0
fixed_retry,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.319367761665441,3319.3677616654413,0.001,0.0,0.10451850998106238,0.0,0.0,0.0,1000.0,1.0
fixed_retry,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.334470063127309,3334.470063127309,0.0,0.0,0.11168424207608041,0.0,0.0,0.0,1000.0,1.0
fixed_retry,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3309397034269477,3330.9397034269477,0.0,0.0,0.10297011697548442,0.0,0.0,0.0,1000.0,1.0
fixed_retry,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4250600571867706,3425.060057186771,0.0,0.0,0.11553116817049158,0.0,0.0,0.0,1000.0,1.0
fixed_retry,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.390342067274823,5085.513100912234,0.0,0.0,0.16378849606553558,0.0,0.0,0.0,1500.0,1.0
fixed_retry,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3222435657782095,3322.2435657782094,0.0,0.0,0.11032472901388246,0.0,0.0,0.0,1000.0,1.0
fixed_retry,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3053353922550133,4958.00308838252,0.0,0.0,0.15785505197527527,0.0,0.0,0.0,1500.0,1.0
fixed_retry,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1002289420565305,3150.343413084796,0.0,0.0,0.08216945892490912,0.0,0.0,0.0,1500.0,1.0
fixed_retry,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3367394176154535,3336.7394176154535,0.0,0.0,0.12250511810634634,0.0,0.0,0.0,1000.0,1.0
fixed_retry,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.352455141720692,5028.682712581038,0.0,0.0,0.153872011032945,0.0,0.0,0.0,1500.0,1.0
fixed_retry,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8280747390492698,2828.0747390492697,0.201,0.0,0.13381215492336196,0.0,0.0,0.0,1000.0,1.0
fixed_retry,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.301489383151862,3301.489383151862,0.0,0.0,0.10447360691978247,0.0,0.0,0.0,1000.0,1.0
fixed_retry,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8130690536251275,4219.603580437692,0.9326666666666666,0.0,0.10039753302044119,0.0,0.0,0.0,1500.0,1.0
fixed_retry,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.384773095313386,3384.773095313386,0.0,0.0,0.10646543195798586,0.0,0.0,0.0,1000.0,1.0
generate_review,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3628729997823448,5044.309499673517,0.0,0.0,0.15734971193342062,0.0,0.0,0.0,1500.0,1.0
generate_review,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.400066874035191,3400.066874035191,0.0,0.0,0.11109597294489504,0.0,0.0,0.0,1000.0,1.0
generate_review,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.319367761665441,3319.3677616654413,0.001,0.0,0.10022062112693675,0.0,0.0,0.0,1000.0,1.0
generate_review,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.334470063127309,3334.470063127309,0.0,0.0,0.10250173905114934,0.0,0.0,0.0,1000.0,1.0
generate_review,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3309397034269477,3330.9397034269477,0.0,0.0,0.10444494397961535,0.0,0.0,0.0,1000.0,1.0
generate_review,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4250600571867706,3425.060057186771,0.0,0.0,0.11311036797815177,0.0,0.0,0.0,1000.0,1.0
generate_review,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.390342067274823,5085.513100912234,0.0,0.0,0.15974626786919544,0.0,0.0,0.0,1500.0,1.0
generate_review,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3222435657782095,3322.2435657782094,0.0,0.0,0.10327192806835228,0.0,0.0,0.0,1000.0,1.0
generate_review,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3053353922550133,4958.00308838252,0.0,0.0,0.15220099108410068,0.0,0.0,0.0,1500.0,1.0
generate_review,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1002289420565305,3150.343413084796,0.0,0.0,0.07955467001193028,0.0,0.0,0.0,1500.0,1.0
generate_review,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3367394176154535,3336.7394176154535,0.0,0.0,0.10650710298978083,0.0,0.0,0.0,1000.0,1.0
generate_review,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.352455141720692,5028.682712581038,0.0,0.0,0.15146043302047474,0.0,0.0,0.0,1500.0,1.0
generate_review,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8280747390492698,2828.0747390492697,0.201,0.0,0.12891667587973643,0.0,0.0,0.0,1000.0,1.0
generate_review,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.301489383151862,3301.489383151862,0.0,0.0,0.10512027604636387,0.0,0.0,0.0,1000.0,1.0
generate_review,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8130690536251275,4219.603580437692,0.9326666666666666,0.0,0.09813878493514494,0.0,0.0,0.0,1500.0,1.0
generate_review,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.384773095313386,3384.773095313386,0.0,0.0,0.10503949196572648,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8277206160661295,1241.5809240991941,0.0,0.0,1.5465502580027533,0.0,0.0,0.0,1500.0,1.0
greedy_confidence,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8327500008592449,832.7500008592449,0.0,0.0,0.9948970639961772,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8288699888220811,828.869988822081,0.0,0.0,1.027274518051854,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8326004929136273,832.6004929136272,0.0,0.0,1.021340690085708,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8268203978599084,826.8203978599083,0.0,0.0,0.9857383320941153,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8302581873332376,830.2581873332376,0.0,0.0,1.0026986630018655,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8307413223788284,1246.1119835682425,0.0,0.0,1.478873398995347,0.0,0.0,0.0,1500.0,1.0
greedy_confidence,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8283757389642326,828.3757389642326,0.0,0.0,0.9914187209324155,0.0,0.0,0.0,1000.0,1.0
greedy_confidence,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8313139740300695,1246.970961045104,0.0,0.0,1.4835648748503445,0.0,0.0,0.0,1500.0,1.0
